Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3316,34,3,244,31.50,0.121%,54.65273,677.07,7.89,12685.9
Login,3312,47,5,273,40.96,0.242%,56.20514,782.46,28.04,14255.7
List Products,3304,69,7,455,60.76,0.303%,56.41017,6206.88,13.97,112671.9
Look at Product,3293,121,11,438,98.21,0.577%,57.25961,5582.22,13.46,99829.4
Add Product to Cart,3273,129,12,438,103.62,0.611%,57.49873,1673.66,63.77,29806.4
List Products with different page,3253,80,8,684,74.90,0.338%,57.16545,6326.00,45.40,113317.0
Add Product 2 to Cart,3242,137,13,455,107.82,0.370%,56.98016,1700.45,101.00,30559.1
Logout,3226,45,5,271,39.70,0.248%,56.68998,799.23,92.34,14436.7
Buy,970,40,4,154,34.47,0.412%,17.52231,285.97,34.66,16711.9
TOTAL,27189,81,3,684,83.74,0.353%,447.85044,22814.66,376.49,52165.2
