Time,docker-persistence-1 CPU (%),docker-persistence-1 Mem (MB),docker-image-1 CPU (%),docker-image-1 Mem (MB),docker-webui-1 CPU (%),docker-webui-1 Mem (MB),docker-auth-1 CPU (%),docker-auth-1 Mem (MB),docker-recommender-1 CPU (%),docker-recommender-1 Mem (MB),docker-db-1 CPU (%),docker-db-1 Mem (MB),docker-registry-1 CPU (%),docker-registry-1 Mem (MB)
15:23:00,0.56,1.122,0.27,1.121,1.71,1.732,0.6,1.108,0.24,674.1,0.07,115.8,0.26,345.4
15:23:03,0.52,1.122,0.49,1.121,0.55,1.732,0.46,1.108,0.88,674.1,0.06,115.8,0.31,345.4
15:23:06,3.16,1.122,3.33,1.121,7.63,1.733,2.93,1.108,0.81,674.1,0.38,115.8,0.41,345.4
15:23:09,0.14,1.122,0.49,1.122,2.47,1.732,0.72,1.108,0.91,674.1,0.06,115.8,0.47,345.4
15:23:12,58.11,1.122,37.9,1.122,97.61,1.734,24.94,1.108,5.43,674.1,3.35,115.8,0.33,345.4
15:23:15,63.48,1.122,41.27,1.122,114.52,1.734,24.88,1.108,7.22,674.1,3.72,115.8,0.26,345.4
15:23:18,89.14,1.123,59.22,1.122,160.58,1.735,33.64,1.108,8.52,674.1,5.38,115.8,0.75,345.4
15:23:21,107.01,1.122,69.53,1.122,197.53,1.735,38.57,1.108,10.61,674.1,6.23,115.8,0.58,345.4
15:23:24,136.17,1.122,91.42,1.122,244.09,1.735,47.68,1.108,15.28,674.2,7.48,115.8,0.38,345.4
15:23:27,158.7,1.122,98.5,1.122,282.01,1.736,58.92,1.108,17.5,674.2,9.0,115.8,0.32,345.4
15:23:31,158.29,1.123,109.78,1.122,304.53,1.737,60.97,1.108,18.98,674.1,8.54,115.8,0.45,345.4
15:23:34,169.83,1.122,114.72,1.122,324.37,1.738,63.57,1.108,28.17,674.2,9.24,115.8,0.76,345.4
15:23:37,161.47,1.123,124.79,1.122,338.1,1.739,66.14,1.109,22.08,674.1,9.37,115.8,0.64,345.4
15:23:40,174.65,1.124,131.68,1.122,362.61,1.742,76.18,1.109,36.33,674.1,11.51,115.8,0.42,345.4
15:23:43,193.16,1.125,141.66,1.123,390.74,1.75,88.45,1.11,28.81,674.2,13.36,115.8,0.33,345.4
15:23:47,181.03,1.13,147.82,1.126,377.89,1.752,83.11,1.111,31.39,674.2,16.95,117.8,0.34,345.4
15:23:50,205.03,1.131,136.13,1.126,404.28,1.756,84.4,1.111,34.4,674.6,12.53,117.8,0.32,345.4
15:23:53,188.5,1.13,149.57,1.127,400.22,1.756,79.03,1.111,47.7,674.9,11.41,117.8,1.0,345.4
15:23:56,171.21,1.131,149.11,1.127,408.07,1.757,91.43,1.12,29.77,680.7,12.37,117.8,0.64,345.4
15:23:59,203.01,1.132,141.59,1.126,401.81,1.757,79.74,1.12,32.35,680.8,13.84,117.8,1.98,345.4
15:24:02,0.56,1.132,0.18,1.126,0.53,1.756,0.53,1.12,0.2,680.7,0.05,117.8,0.23,345.4
