Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,11202,260,3,1515,354.84,1.732%,35.39336,432.87,5.03,12523.7
Login,10977,462,5,2258,635.93,3.553%,35.93467,487.15,17.45,13881.8
List Products,10566,333,6,1722,408.80,2.366%,34.65580,3734.30,8.38,110340.1
Look at Product,10290,442,11,2156,484.91,2.896%,33.75165,3213.26,7.73,97487.8
Add Product to Cart,9951,659,12,2765,757.11,4.723%,32.64132,915.16,34.93,28709.6
List Products with different page,9447,411,7,2447,463.99,2.159%,30.99898,3366.06,24.16,111192.2
Add Product 2 to Cart,9224,738,12,2731,783.43,4.879%,30.26783,867.05,51.96,29333.4
Logout,8625,578,4,2264,668.63,4.568%,28.32019,386.16,44.80,13962.8
Buy,2627,572,4,2259,668.86,4.644%,8.66385,136.52,16.65,16135.0
TOTAL,82909,480,3,2765,604.89,3.343%,261.49887,13032.57,203.04,51034.1
